source,outliers,preprocessing,weight,model_id
grd_raw_raw.csv,clip,min_max,balanced,3a501112-78c2-4043-b58a-f1039938d02b
grd_raw_raw.csv,clip,min_max,no_treatment,0daec690-457d-47b8-9d31-600a3668502a
grd_raw_raw.csv,clip,min_max,posterior,5785352f-ebd4-4831-b255-868f4793dad1
grd_raw_raw.csv,clip,robust,balanced,0c676ccd-cfd8-43d0-976a-8d1498178a36
grd_raw_raw.csv,clip,robust,no_treatment,53bdffd0-ea8c-4781-bf00-d0daa2a050b6
grd_raw_raw.csv,clip,robust,posterior,ad88f4da-2f12-4a31-8257-6fdf7141c139
grd_raw_raw.csv,clip,standard,balanced,a585913a-6bc2-452d-9506-66fc7354eda3
grd_raw_raw.csv,clip,min_max,balanced,fbaab119-df60-4609-afd2-da8c84d36d52
grd_raw_raw.csv,clip,min_max,no_treatment,a03ea8a7-2f9c-4507-b505-b03a84c083d5
grd_raw_raw.csv,clip,min_max,posterior,3d9cb5c3-22fa-4f46-9f8f-02c2306ae4f2
grd_raw_raw.csv,clip,robust,balanced,5f036453-9a54-4ee4-b18c-20b087c96213
grd_raw_raw.csv,clip,robust,no_treatment,4cfa99ef-5d37-4673-9b2f-9302a1568e4b
grd_raw_raw.csv,clip,robust,posterior,ca39e27c-3bca-479d-baff-723cafff95e2
grd_raw_raw.csv,clip,standard,balanced,b87dfd25-1585-411a-b6e3-9ae615276ab8
grd_raw_raw.csv,clip,standard,no_treatment,30c93350-35cb-47b6-a209-91832a0ad48f
grd_raw_raw.csv,clip,standard,posterior,d26e56c3-2f7b-404a-82b2-2fd8f7c3e4fe
grd_raw_raw.csv,clip,no_treatment,balanced,379e3973-42e3-47f6-b405-73eff890fdc1
grd_raw_raw.csv,clip,no_treatment,no_treatment,80356c14-3885-4772-a937-8ef6b7b27531
grd_raw_raw.csv,clip,no_treatment,posterior,5d776afb-bb6e-472e-b015-2b52a4d9409d
grd_raw_raw.csv,no_treatment,min_max,balanced,a804c0cb-45a6-40bc-812e-941972b0981f
grd_raw_raw.csv,no_treatment,min_max,no_treatment,c2818c22-809a-46a7-a13c-aa9600544fba
grd_raw_raw.csv,no_treatment,min_max,posterior,720bd066-b992-42e3-ae43-780cfc109c51
grd_raw_raw.csv,no_treatment,robust,balanced,14ac039e-cbf7-47de-9c5b-81619c320bfb
grd_raw_raw.csv,no_treatment,robust,no_treatment,29a81543-ef22-4bcb-b023-bd7dca03a064
grd_raw_raw.csv,no_treatment,robust,posterior,77d6d740-4b3f-4512-a069-2092e1927b4d
grd_raw_raw.csv,no_treatment,standard,balanced,3636e7db-2652-4478-9e6f-bc90b298d013
grd_raw_raw.csv,no_treatment,standard,no_treatment,0f738a8b-8ee2-4424-8d22-776b9299a66b
grd_raw_raw.csv,no_treatment,standard,posterior,c623188e-ca64-4424-a2a5-40aa9788a167
grd_raw_raw.csv,no_treatment,no_treatment,balanced,407c67b0-c09c-4e1e-9171-3f0447d84462
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,27233150-b7c2-400b-9956-ba56fee6e0e5
grd_raw_raw.csv,no_treatment,no_treatment,posterior,ae3e37cb-f4da-4094-8dc3-5bfea6c8a19c
grd_raw_corrected.csv,clip,min_max,balanced,3b2a4303-50e0-4042-addc-e01658b07272
grd_raw_corrected.csv,clip,min_max,no_treatment,dd15224f-5b69-4366-b992-151ff491c8bb
grd_raw_corrected.csv,clip,min_max,posterior,f15d818c-bffc-4612-b6dc-71c7ee9552de
grd_raw_corrected.csv,clip,robust,balanced,794dc91c-4edb-4dba-90b6-6a953c34ad0e
grd_raw_corrected.csv,clip,robust,no_treatment,defc6bb7-0dc8-42b4-b056-01cd9cca51bb
grd_raw_corrected.csv,clip,robust,posterior,5d10bac0-cc77-4d45-8725-c07a2ce9ef65
grd_raw_corrected.csv,clip,standard,balanced,0ccbc908-4c1c-4a47-84a1-db84779f85f1
grd_raw_corrected.csv,clip,standard,no_treatment,48e2c9ce-8a9e-47f0-96b8-c401f1b2f529
grd_raw_corrected.csv,clip,standard,posterior,fcc01f49-33ee-4a44-b325-384087cd8d15
grd_raw_corrected.csv,clip,no_treatment,balanced,e601578e-7137-47e3-b2b6-3b350ae2cd7f
grd_raw_corrected.csv,clip,no_treatment,no_treatment,db1ee2ce-318c-4dfa-9ba0-cb3cd483d0da
grd_raw_corrected.csv,clip,no_treatment,posterior,80de7dc6-56c0-41cb-a78a-cc543637115b
grd_raw_corrected.csv,no_treatment,min_max,balanced,a1e83000-eee8-43fc-8afb-ce1778127f98
grd_raw_corrected.csv,no_treatment,min_max,no_treatment,1b71c6cf-4fb1-41ff-a4b9-6f2a9365656a
grd_raw_corrected.csv,no_treatment,min_max,posterior,2d98b37b-1944-48f3-a51a-3ffe0043b865
grd_raw_corrected.csv,no_treatment,robust,balanced,9c1764d9-7cf6-404e-9571-5d1ef1d6f0ae
grd_raw_corrected.csv,no_treatment,robust,no_treatment,29263778-da42-4468-bc79-f7a190707709
grd_raw_corrected.csv,no_treatment,robust,posterior,71e04ace-1d41-4455-a793-9be02790af13
grd_raw_corrected.csv,no_treatment,standard,balanced,bce12e63-4b19-415c-a6e0-5a3124f69053
grd_raw_corrected.csv,no_treatment,standard,no_treatment,89012973-152b-4847-b5e2-260dcc560cd8
grd_raw_corrected.csv,no_treatment,standard,posterior,6412d558-3e6e-4d16-aa84-3711c73c7323
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,2a19ee23-b7ac-4ff9-b6fa-03cf2e5edaa0
grd_raw_corrected.csv,no_treatment,no_treatment,no_treatment,0ac757f6-9dbc-4cef-9242-7b63ac686463
grd_raw_corrected.csv,no_treatment,no_treatment,posterior,234b2b2b-5e17-4082-a2db-36f936454156
img_raw_raw.csv,clip,min_max,balanced,a8ad6a72-e70a-4b4c-bd1b-42320d66f786
