source,outliers,preprocessing,weight,accuracy,model_id
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,0.483333333333333,59596485-592b-45e5-9dc7-cacfd283fa0c
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,0.483333333333333,38316c07-37a8-4e89-9322-29e8c18484b6
grd_raw_raw.csv,no_treatment,no_treatment,balanced,0.441666666666667,7019cdff-655d-4841-950f-cbffbdb10f1b
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,0.483333333333333,1920176f-42e4-45e8-8dbd-b2194cb8b560
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,d2fc3d89-f0c7-44c6-8c1d-4a8d5dad482e
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,4fc2832c-65c4-4170-8bd2-1ce6d6eded3e
grd_raw_raw.csv,no_treatment,robust,balanced,0.416666666666667,ce39af70-27a3-4271-83a9-267557184359
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,bf7847a4-4b0f-42d4-82be-ab90d2ad442a
grd_raw_raw.csv,no_treatment,robust,balanced,0.416666666666667,418b717d-6410-4e0f-bf73-f5bfcd89ab4e
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,013c2977-8b69-4e53-a9ce-574c2b04acb3
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,edb3edcf-11c4-4306-9fc4-48cb2114f29a
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,bccbf509-bb8f-4ac5-9682-5930e0d140cd
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,15179feb-12f9-4832-b421-a01db7714365
grd_raw_raw.csv,no_treatment,robust,no_treatment,0.358333333333333,81b895c7-00f3-4bdb-85a6-6b7f3b10116c
