 source,outliers,preprocessing,weight,oob,accuracy,r2,chi2prob,model_id
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0285510349750178,1,0.107856782696788,0,75b2420c-d1ce-4b15-a5de-83a0ff20b3e5
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.224521072796935,0.333333333333333,0.346718476329916,0,abd8f69a-cba0-457c-9816-65e2f4170f51
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0284131952805201,1,0.11535537987242,0,848f751b-92d4-4949-8bc3-ab575db1ed63
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.23448275862069,0.341666666666667,0.375873099265752,0,8ce1d802-2df9-46a4-b6b3-a191cf6254b0
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0251403465950696,1,0.117007167418499,0,7b261a85-3a15-4e40-b30d-ee98cf717d93
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.263076923076923,0.333333333333333,0.403773560988581,0,747850ac-f201-4470-b595-9076eac0d48e
img_indices_only.csv,no_treatment,no_treatment,balanced,0.026231130908191,1,0.10571605667684,0,b7d935ba-5d65-4d1e-9bca-552c49b33a6f
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.268388106416275,0.308333333333333,0.417953442347123,0,553400ff-dd70-4221-b8b2-5a0bb8265b56
img_indices_only.csv,no_treatment,no_treatment,balanced,0.025615763546798,1,0.132903069615243,0,df4f745b-a12e-4b5c-b2dd-334cbc8f8f9e
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.270186335403727,0.333333333333333,0.377796229449953,0,1f49d723-c200-458c-8e9a-5123bb0ee905
img_indices_only.csv,no_treatment,no_treatment,balanced,0.025909317389138,1,0.10411065192049,6.50067919468801e-239,dd628ccf-e11a-43c3-b71a-806a1fa57c20
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.285828025477707,0.333333333333333,0.355174112037812,0,67544093-1b1e-49d9-94a7-1978476cedba
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0251789681560109,1,0.118365491234845,0,fef1c138-72b9-46e7-999f-d5e4dcf873a5
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.265003897116134,0.333333333333333,0.397135815637267,0,d8b6bc8f-3d9c-456f-891a-4bb1a5e0ccfd
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0243482538121003,1,0.120057514709876,0,317125a8-b598-4811-a532-c3aca84fdb3b
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.276102088167053,0.341666666666667,0.398996312639863,0,8f919830-2ab5-4157-bbd9-9a72c1aa80b3
img_indices_only.csv,no_treatment,no_treatment,balanced,0.025615763546798,1,0.132903069615243,0,42e27a03-3838-42fd-91c0-4e91bdec1971
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.270186335403727,0.333333333333333,0.377796229449953,0,bd9a848e-5cfc-49c2-b56a-b2a233a858e9
img_indices_only.csv,no_treatment,no_treatment,balanced,0.026231130908191,1,0.10571605667684,0,64570d26-b83f-4cd9-9268-2526a96cd2dd
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.268388106416275,0.308333333333333,0.417953442347123,0,3bdfeb25-60d1-41eb-941a-6a620ab0064c
img_indices_only.csv,no_treatment,no_treatment,balanced,0.0251403465950696,1,0.117007167418499,0,a604bc7f-4f7d-4309-b01a-b13f0ba0a9fd
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.263076923076923,0.333333333333333,0.403773560988581,0,eb78c451-c30a-41fb-b6ea-7f3a04b933fd
img_indices_only.csv,no_treatment,no_treatment,balanced,0.026231130908191,1,0.10571605667684,0,80c25682-6646-4ba3-b304-8977dccbe410
grd_raw_corrected.csv,no_treatment,no_treatment,balanced,0.268388106416275,0.308333333333333,0.417953442347123,0,d4fde0a9-78de-4a31-9d56-6783349ecb61
