source,outliers,preprocessing,weight,n,oob,accuracy,r2,chi2prob,model_id
corrected_and_img.csv,no_treatment,no_treatment,balanced,1,0.0800125509883903,0.983333333333333,0.358824316283221,1.21651096709134,63dd0d45-f24e-410f-8693-c6b353f35650
corrected_and_img.csv,no_treatment,no_treatment,balanced,2,0.0862688713156003,0.983333333333333,0.336508780846385,1.22080778164356,87a01d11-3a7e-4f2b-a89b-03f93c14839c
corrected_and_img.csv,no_treatment,no_treatment,balanced,4,0.0856665273715002,0.991666666666667,0.346466124981746,1.25283049163806,584177b4-2e70-4b80-be0b-d72e53fbed95
corrected_and_img.csv,no_treatment,no_treatment,balanced,8,0.0905255082470272,1,0.328062302175835,1.26374053831179,b9426bed-4486-4023-9a12-8e80ebf0defa
corrected_and_img.csv,no_treatment,no_treatment,balanced,10,0.0873804612788299,1,0.322282189057401,1.28835648074664,cccb203b-8402-402b-a4d3-24c6790e157d
corrected_and_img.csv,no_treatment,no_treatment,balanced,12,0.0877581120943953,1,0.322447364403662,1.29025957670045,d3cba788-437c-4ec0-bd98-e1db8658daa7
corrected_and_img.csv,no_treatment,no_treatment,balanced,16,0.0856936676889771,1,0.319966161419631,1.30003700150839,6af1bb1a-5f3a-4f05-a074-757d106055a1
corrected_and_img.csv,no_treatment,no_treatment,balanced,32,0.078942792557816,1,0.305931030202569,1.34533798414269,36688955-3b54-4ed3-8a93-6c39b920839a
corrected_and_img.csv,no_treatment,no_treatment,balanced,64,0.0740425531914894,1,0.289218283053535,1.34806926785761,e8132eba-13ba-42c7-b81c-e7c7bc2c3704
img_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.0688042752171009,0.991666666666667,0.333604785650639,1.10414799001949,25f3399a-23cd-43f7-b192-7ca1a2b59d5d
img_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.0675267636563272,0.991666666666667,0.295152855474841,1.12578161906235,06f695a4-1574-43d3-a85a-cd1bbde71b6b
img_raw_raw.csv,no_treatment,no_treatment,balanced,4,0.041539245667686,1,0.307282674852026,1.17218437211142,c899ac9a-f7d4-4019-8680-8d1aa609718d
img_raw_raw.csv,no_treatment,no_treatment,balanced,8,0.0287342085707208,1,0.27814479902153,1.24122216063652,46c4b1ff-189a-4e0f-b951-94efd973e77a
img_raw_raw.csv,no_treatment,no_treatment,balanced,10,0.0277982779827798,1,0.278237596223679,1.22844333576719,8cc09daf-d7a4-49db-a0f6-13c4c50af6f4
img_raw_raw.csv,no_treatment,no_treatment,balanced,12,0.0269211943220754,1,0.267645733302759,1.24290917984832,2477f581-13dc-48ce-85ff-cf2be431a57f
img_raw_raw.csv,no_treatment,no_treatment,balanced,16,0.0247632920611799,1,0.261763812322038,1.26941010311121,0ef232ad-a917-4bd0-805b-27307cc48df9
img_raw_raw.csv,no_treatment,no_treatment,balanced,32,0.0244307400379507,1,0.273835846713062,1.27844795774258,a7b66029-0e79-476a-9f96-96428f2df66e
img_raw_raw.csv,no_treatment,no_treatment,balanced,64,0.0283867989845373,1,0.272347628904296,1.28499807421157,93b258e4-c6ae-4a58-8a4e-aa4551d0971c
grd_raw_raw.csv,no_treatment,no_treatment,balanced,1,0.350689127105666,0.416666666666667,0.0951521158791759,1.48190587575206,b9afd932-a16e-4139-8b77-92a14e5606b1
grd_raw_raw.csv,no_treatment,no_treatment,balanced,2,0.335095137420719,0.416666666666667,0.0897862372134188,1.5498847261569,b8ecb7c2-1a70-4abd-b564-29d1c2d09da7
grd_raw_raw.csv,no_treatment,no_treatment,balanced,4,0.319757365684575,0.425,0.188403719766629,1.4268439368036,01e2281b-07d3-4e0b-ba2e-d8c1f31cae08
grd_raw_raw.csv,no_treatment,no_treatment,balanced,8,0.292993630573248,0.341666666666667,0.145910759504624,1.35795338642749,6dd96786-898a-494a-91c0-906e0d3c22d6
grd_raw_raw.csv,no_treatment,no_treatment,balanced,10,0.276212832550861,0.35,0.170286873622202,1.39784098892543,21c23a41-b1b3-4fd2-8155-28da9b929e76
grd_raw_raw.csv,no_treatment,no_treatment,balanced,12,0.262422360248447,0.35,0.161812477474202,1.46077284021562,7fc3aa60-0a9a-4c39-855a-6dafe584064f
grd_raw_raw.csv,no_treatment,no_treatment,balanced,16,0.242307692307692,0.358333333333333,0.224296324046155,1.40881223741382,34b90238-2a4f-480b-8672-f97277679033
grd_raw_raw.csv,no_treatment,no_treatment,balanced,32,0.215325670498084,0.366666666666667,0.285481094849337,1.37618652389465,275c64dc-6780-4105-af0c-0827c149ae24
grd_raw_raw.csv,no_treatment,no_treatment,balanced,64,0.18989280245023,0.333333333333333,0.34187238553119,1.29042028600221,1ed9faae-9cc0-41eb-87cc-1403b8388668
img_only_bands.csv,no_treatment,no_treatment,balanced,1,,0.25,Skipped,Skipped,72bbc727-9ea5-4247-ada8-a65436a6edd8
img_only_bands.csv,no_treatment,no_treatment,balanced,2,,0.375,Skipped,Skipped,779c2d03-8b8e-416f-9272-c2be4d2e0e4c
img_only_bands.csv,no_treatment,no_treatment,balanced,4,,0.483333333333333,Skipped,Skipped,62a24c0d-559c-41a9-9a00-b6db3ccb2cd9
img_only_bands.csv,no_treatment,no_treatment,balanced,6,,0.533333333333333,Skipped,Skipped,919008d2-5050-49c9-9404-7fdf21a37e9f
img_only_bands.csv,no_treatment,no_treatment,balanced,1,,0.25,Skipped,Skipped,fb48bfbd-7dd4-456f-9eb4-38cffa9040b2
img_only_bands.csv,no_treatment,no_treatment,balanced,2,,0.375,Skipped,Skipped,f80b1cdf-af8c-474a-9f39-1041af97a68b
img_only_bands.csv,no_treatment,no_treatment,balanced,4,,0.483333333333333,Skipped,Skipped,2cddb8fe-df6f-4baa-bba5-22b9cfcf01e9
img_only_bands.csv,no_treatment,no_treatment,balanced,6,,0.533333333333333,Skipped,Skipped,393de9c5-b409-4841-a19c-59cdee256e09
