source,outliers,preprocessing,weight,oob,accuracy,r2,chi2prob,model_id
grd_raw_raw.csv,no_treatment,robust,no_treatment,,0.341666666666667,0.120767437925345,0,792cc9f0-2a25-4546-8d9f-b6852a5dc741
grd_raw_raw.csv,no_treatment,no_treatment,balanced,,0.208333333333333,0.110433697241536,0,425aa903-03a1-4676-8488-6b2acf6f45bb
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,,0.208333333333333,0.110433697241536,0,fc5f663e-2aaf-4ff2-a341-aa2c5a6e6070
grd_raw_raw.csv,no_treatment,no_treatment,posterior,,0.208333333333333,0.110433697241536,0,d6a8af8a-38c4-4de4-a82a-961ad98d26d5
grd_raw_raw.csv,no_treatment,standard,balanced,,0.358333333333333,0.0953031788322909,0,3b71232c-cbb0-403c-94e7-6d5e3642e08d
grd_raw_raw.csv,no_treatment,standard,no_treatment,,0.358333333333333,0.0953031788322909,0,a4103157-74ae-41aa-a984-011cea8d65fb
grd_raw_raw.csv,no_treatment,standard,posterior,,0.358333333333333,0.0953031788322909,0,320db278-9115-4a27-b76b-63732fa4d274
grd_raw_raw.csv,no_treatment,min_max,balanced,,0.341666666666667,0.0800060169346909,0,02c25c3e-1cd7-4160-9e3b-4febde7f765e
grd_raw_raw.csv,no_treatment,min_max,no_treatment,,0.341666666666667,0.0800060169346909,0,8012e7fd-0abb-4cb0-837a-da117196c460
grd_raw_raw.csv,no_treatment,min_max,posterior,,0.341666666666667,0.0800060169346909,0,ae118e96-22da-4fa7-b242-f3c3e3550cab
grd_raw_raw.csv,no_treatment,no_treatment,balanced,,0.141666666666667,0.042035839638728,7.02408216169547e-81,58d489fc-25aa-4037-acde-fb19c5a6e6a6
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,,0.141666666666667,0.042035839638728,7.02408216169547e-81,6c7ee7bb-b568-4747-bdb4-abef5bbbddc8
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.866666666666667,0.111320364033992,6.68707031025492e-185,dfc34095-bd77-4ad2-a584-8253bfd884ad
corrected_and_img.csv,no_treatment,no_treatment,no_treatment,,0.866666666666667,0.111320364033992,6.68707031025492e-185,44fb4cac-7830-457c-b3a2-af6ef77ad6ee
corrected_and_img.csv,no_treatment,no_treatment,posterior,,0.866666666666667,0.111320364033992,6.68707031025492e-185,564b1bb4-274a-4a88-9e05-db9d30a784be
corrected_and_img.csv,no_treatment,standard,balanced,,0.675,0.0474441371415888,2.98371087633727e-09,40414102-012d-43fc-bb4a-78fdf97bfd84
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.808333333333333,0.0794216280378474,0,ed94fa61-4dcd-40fc-8484-526b5e940d70
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.833333333333333,0.116228190415383,0,ba6b8552-3fbc-4b00-81b3-8acbbabf2a03
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.875,0.104581659956446,2.79692816048184e-304,c8288e03-7e08-4dd8-a2df-4ff8c86ccd68
corrected_and_img.csv,no_treatment,no_treatment,no_treatment,,0.875,0.104581659956446,2.79692816048184e-304,2d12e94d-0a28-4444-bd31-db7893dc317c
corrected_and_img.csv,no_treatment,no_treatment,posterior,,0.875,0.104581659956446,2.79692816048184e-304,7664333f-9b39-4a45-b603-345e89144700
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.875,0.104581659956446,2.79692816048184e-304,926ae5d2-1f58-48bf-bf01-a16df85afe77
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.875,0.0385159614370748,0,2d24e817-6236-4009-9f00-1c572ba55e01
corrected_and_img.csv,no_treatment,no_treatment,no_treatment,,0.875,0.0385159614370748,0,bde41e9d-cfd3-417a-98c9-faede5d66999
corrected_and_img.csv,no_treatment,no_treatment,posterior,,0.875,0.0385159614370748,0,a999a947-5d98-4b8c-a10b-99878052b43e
corrected_and_img.csv,no_treatment,standard,balanced,,0.35,0.0570382810383764,1.3506557652236e-10,cbeddbe3-2ea1-44b8-8c5b-a6c48395e9f3
corrected_and_img.csv,no_treatment,standard,no_treatment,,0.35,0.0570382810383764,1.3506557652236e-10,21e8d939-492d-486b-9b9a-4d10c36abef7
corrected_and_img.csv,no_treatment,standard,posterior,,0.35,0.0570382810383764,1.3506557652236e-10,484439eb-6736-427b-9051-c338b741a496
corrected_and_img.csv,no_treatment,min_max,balanced,,0.0583333333333333,0.0342346636627028,0,a613c9d1-60e7-40b5-b234-daa6cad0f088
corrected_and_img.csv,no_treatment,min_max,no_treatment,,0.0583333333333333,0.0342346636627028,0,d373dd15-9d21-492e-bd44-d211bafee48a
corrected_and_img.csv,no_treatment,min_max,posterior,,0.0583333333333333,0.0342346636627028,0,68b79d24-6002-465e-b0b9-47049c4ee8fe
corrected_and_img.csv,no_treatment,robust,balanced,,0.283333333333333,0.00710575236522426,1.33636793194193e-33,f641eca3-1498-4641-9f43-cfff3b7bcc4f
corrected_and_img.csv,no_treatment,robust,no_treatment,,0.283333333333333,0.00710575236522426,1.33636793194193e-33,9cefe869-067a-43fe-8e7a-0804788e967d
img_raw_raw.csv,no_treatment,no_treatment,balanced,,0.133333333333333,0.0506123483311004,0,230d9b5d-3074-4388-87c2-3f1f494fb9e8
img_raw_raw.csv,no_treatment,standard,balanced,,0.108333333333333,0.0522424306665313,2.68339873411066e-144,4e5e9912-157a-40ad-aea2-7c8bd1e469f2
img_raw_raw.csv,no_treatment,min_max,balanced,,0.166666666666667,0.0867893554964175,0,cad47403-bd0d-4018-91c7-015589156f86
img_raw_raw.csv,no_treatment,robust,balanced,,0.15,0.0148973651113469,3.11399057662901e-110,ab7cfc07-5b7e-471e-97b5-a63856ff46c8
img_raw_raw.csv,clip,no_treatment,balanced,,0.133333333333333,0.0506123483311004,0,4aaab5d8-807d-4dff-9d0f-87b5d7f30b8f
img_raw_raw.csv,no_treatment,no_treatment,balanced,,0.133333333333333,0.0525642266666123,6.16975797073105e-298,b1ec36b1-e53b-4ef3-91ef-aea06bdaf462
img_raw_raw.csv,no_treatment,standard,balanced,,0.108333333333333,0.0465724989025744,7.69986078411844e-39,068337a5-6492-4a13-87b6-c009af93bfd9
img_raw_raw.csv,no_treatment,min_max,balanced,,0.125,0.0139325817985021,8.30472699099782e-313,fe9f86ec-5d25-488d-b7b8-848a548fa466
img_raw_raw.csv,no_treatment,robust,balanced,,0.0583333333333333,-0.000356074140340112,1.09941144118817e-23,93d4d3d9-46d1-4814-a7fb-bd0bc32d24b6
img_raw_raw.csv,clip,no_treatment,balanced,,0.133333333333333,0.0525642266666123,6.16975797073105e-298,a05c5ce7-33d9-4946-95aa-20b6a4eee234
img_raw_raw.csv,clip,standard,balanced,,0.108333333333333,0.0465724989025744,7.69986078411844e-39,7169f2af-7f46-4f61-ba02-b098d7ba4038
img_raw_raw.csv,clip,min_max,balanced,,0.125,0.0139325817985021,8.30472699099782e-313,cdab22b7-6846-4a70-a00c-16643a9e51bf
img_raw_raw.csv,clip,robust,balanced,,0.0583333333333333,-0.000356074140340112,1.09941144118817e-23,b7dc3e86-a7fc-4fa0-bb9e-391e0f67a4c4
grd_raw_raw.csv,no_treatment,no_treatment,balanced,,0.2,0.0219048029518011,6.47813915908508e-269,4a014acb-e153-4a6e-9819-1008c9cd1f5d
grd_raw_raw.csv,no_treatment,standard,balanced,,0.116666666666667,-0.00161212104552777,3.85290057032244e-28,551b51e0-0fb5-425c-8818-b1cc88853b35
grd_raw_raw.csv,no_treatment,min_max,balanced,,0.141666666666667,0.0014777135221109,2.26060467393678e-52,b1d69af5-a378-48d9-baec-446af13d988d
grd_raw_raw.csv,no_treatment,robust,balanced,,0.133333333333333,0.0527387713872477,0,7fcebdd0-8ac1-4e4a-aaf8-feb81fefb69c
grd_raw_raw.csv,clip,no_treatment,balanced,,0.2,0.0219048029518011,6.47813915908508e-269,ae58a51b-f5ff-4feb-ab2b-53f8243a7635
grd_raw_raw.csv,clip,standard,balanced,,0.116666666666667,-0.00161212104552777,3.85290057032244e-28,e6952b63-d0b2-4789-a279-8b4528238f26
grd_raw_raw.csv,clip,min_max,balanced,,0.141666666666667,0.0014777135221109,2.26060467393678e-52,b6108171-402d-4d27-a3a1-2c89bc43b41b
grd_raw_raw.csv,clip,robust,balanced,,0.133333333333333,0.0527387713872477,0,5b79982c-a138-4d3e-8405-430ed3d36ca7
corrected_and_img.csv,no_treatment,no_treatment,balanced,,0.716666666666667,0.0114548240437927,1.26815225518578e-51,bef9be31-bcf6-4ade-8502-47eee0016b9c
corrected_and_img.csv,no_treatment,standard,balanced,,0.225,-0.00173758683679925,0.000330655777701383,556140cf-1342-46a7-b51c-343f03521e05
corrected_and_img.csv,no_treatment,min_max,balanced,,0.133333333333333,0.00767418741291459,0,66ec66a2-7ba2-43a7-bff4-261d746df1de
corrected_and_img.csv,no_treatment,robust,balanced,,0.2,0.00077337578497505,0.388178675196859,7a8ec0eb-f803-4799-9504-23d47ee1eec8
corrected_and_img.csv,clip,no_treatment,balanced,,0.716666666666667,0.0114548240437927,1.26815225518578e-51,c33062c8-84f8-4f76-955c-d60aad34c3b4
corrected_and_img.csv,clip,standard,balanced,,0.225,-0.00173758683679925,0.000330655777701383,7d4e9797-09d9-43d2-b71c-ba1c0116bc52
corrected_and_img.csv,clip,min_max,balanced,,0.133333333333333,0.00767418741291459,0,dfcc01ee-0102-4a75-bdaa-9296074add95
corrected_and_img.csv,clip,robust,balanced,,0.2,0.00077337578497505,0.388178675196859,47451bf7-e2af-46fd-af42-96db85201406
