source,outliers,preprocessing,weight,n,oob,accuracy,r2,chi2prob,model_id
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,1,0.11327267022278,0.408333333333333,0.0931114035786283,2.00205824944021e-205,b8cbee04-9652-4e61-bdec-9429c4affbd9
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,2,0.119578241073568,0.408333333333333,0.073436673604141,1.23266652859936e-69,3ad610df-3db5-4cb9-b3e8-458eda600d5f
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,6,0.0923869944488501,0.475,0.0912042839662982,6.8110996847932e-167,0615d794-907a-4cb1-a038-a16e61be7324
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,10,0.093005812863304,0.491666666666667,0.0903280090075439,1.52777289790707e-167,41a05df9-341f-4e65-b4d1-45e560416a30
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,14,0.0948998178506375,0.483333333333333,0.0898710639960179,6.47988309876754e-243,85a7312e-8e19-4f8a-b9c3-312f4f39d594
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,18,0.0933190041196489,0.491666666666667,0.0912627377232061,1.55044037846846e-225,45d863bb-62f7-4a0a-9838-47269c21e945
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,24,0.0925436277102062,0.491666666666667,0.0919193961286194,7.2453480212081e-224,b9dc52b3-375b-4701-8efa-3f434e08360b
corrected_and_img_only_bands.csv,no_treatment,no_treatment,balanced,32,0.090245174752217,0.475,0.0859881048876238,6.96023256041562e-187,2ea72cfc-a822-4cf3-9e72-1438a2731689
corrected_and_img_only_bands.csv,no_treatment,no_treatment,no_treatment,1,0.136221527467619,0.475,0.102402265912799,4.60711705706178e-236,56834895-412e-4f22-a904-556fab9cc66c
corrected_and_img_only_bands.csv,no_treatment,no_treatment,no_treatment,2,0.138389150290617,0.475,0.0892291378918399,9.712879574548e-223,1e9e074f-2a9a-4949-b637-281313a4acee
corrected_and_img_only_bands.csv,no_treatment,no_treatment,no_treatment,6,0.120353982300885,0.55,0.0910801875215676,5.76395632176644e-228,794589c6-f505-4372-baa7-147717c7eba3
corrected_and_img_only_bands.csv,no_treatment,no_treatment,no_treatment,10,0.102576974564926,0.558333333333333,0.0720502615922564,5.19774847031559e-184,a1d4e07e-4c5a-47ef-909d-8b96cb2985d5
corrected_and_img_only_bands.csv,no_treatment,no_treatment,no_treatment,14,0.0877951446624543,0.6,0.076013719127683,1.3253285734584e-189,c2ad60c9-e833-4043-a026-12d906b2cf75
corrected_and_img_only_bands.csv,no_treatment,no_treatment,no_treatment,18,0.0843573563600133,0.591666666666667,0.0754407144046852,1.03654442642591e-196,c163b494-6f28-4bd2-bfa6-b0bf4fd30225
