source,outliers,preprocessing,weight,n,oob,accuracy,r2,chi2prob,model_id
img_raw_raw.csv,no_treatment,standard,balanced,8,0.21377260341838,0.625,0.000216347561866228,1.19029082286926e-27,f69d3196-c378-43e6-a7ee-eb7a9cb1498f
img_raw_raw.csv,no_treatment,standard,balanced,16,0.162175285263413,0.616666666666667,0.000739178790013347,0.965314177316849,27247cd4-aabd-4379-a016-135f333f42d4
img_raw_raw.csv,no_treatment,standard,balanced,256,0.16570923552806,0.25,0.0177648777626026,0.999999465449422,0e626005-cf56-49f7-a156-4cc5248ec7b7
img_raw_raw.csv,no_treatment,standard,balanced,256,0.798497569597879,0.391666666666667,0.0206608723343556,1,2d334d84-2547-415c-b7b7-f199c59a2e60
img_raw_raw.csv,no_treatment,standard,balanced,128,0.146486964206805,0.6,0.00108015476735758,2.93303712120064e-05,598debd0-e318-499a-8ba0-f1d5d2e04985
corrected_and_img.csv,no_treatment,standard,balanced,8,0.820388349514563,0.25,0.0781093744335995,1,229ed23c-60af-47f5-84ee-f83459656079
corrected_and_img.csv,no_treatment,standard,balanced,8,0.716019417475728,0.383333333333333,0.000100530244914362,2,0dd113bd-3dba-4c0d-9a0d-72439eab8050
corrected_and_img.csv,no_treatment,standard,balanced,8,0.359223300970874,0.583333333333333,0.0256462859966085,10,2b09a8be-ddf9-4ae2-83ed-8ebab532ab28
corrected_and_img.csv,no_treatment,standard,balanced,8,0.361650485436893,0.591666666666667,0.0247397751780819,20,c610aa83-5ccc-474b-99ad-60cbef395136
corrected_and_img.csv,no_treatment,standard,balanced,64,0.846335697399527,0.25,0.0126360371149481,1,a3692783-4a62-46a8-89dc-b8d9e1f44249
corrected_and_img.csv,no_treatment,standard,balanced,64,0.671394799054373,0.5,0.000363768852417814,2,d58d36ea-4d47-4ce5-bb5b-9509b57ba272
corrected_and_img.csv,no_treatment,standard,balanced,64,0.274231678486998,0.641666666666667,0.0107752996558937,10,bfb7f329-2dfc-4834-bd0d-48915a77b39c
corrected_and_img.csv,no_treatment,standard,balanced,64,0.274231678486998,0.641666666666667,0.0102448098414763,20,5dff98a4-a948-4a0c-a825-b334614eb64a
corrected_and_img.csv,no_treatment,standard,balanced,128,0.855791962174941,0.266666666666667,0.00900869214639491,1,85fe6ecb-87ad-45f2-83fc-ceec6e155822
corrected_and_img.csv,no_treatment,standard,balanced,128,0.687943262411348,0.5,0.000518203509124477,2,17ff964e-3c43-44b9-b727-fdbd774edcd9
corrected_and_img.csv,no_treatment,standard,balanced,128,0.278959810874705,0.65,0.0111298685157126,10,c5f5f0cf-e400-4fcd-be6d-7f22582a004e
corrected_and_img.csv,no_treatment,standard,balanced,128,0.25531914893617,0.65,0.011720509440522,20,8a640794-8cb4-44f6-b776-50063e58e8c3
corrected_and_img.csv,no_treatment,standard,balanced,256,0.867612293144208,0.25,0.0128490972536437,1,afd484e1-4c52-4c78-8cea-eaa49ebf52e1
corrected_and_img.csv,no_treatment,standard,balanced,256,0.652482269503546,0.425,2.39506687699395e-05,2,33ae3976-c807-4ab0-b479-a05a44c08367
corrected_and_img.csv,no_treatment,standard,balanced,256,0.257683215130024,0.65,0.0104799919989046,10,c7d70cff-7428-406d-a64e-862f6c2c876c
corrected_and_img.csv,no_treatment,standard,balanced,256,0.243498817966903,0.65,0.0107855352198809,20,c8de8973-f494-415b-a959-17d2c166bacb
corrected_and_img.csv,no_treatment,robust,balanced,8,0.820388349514563,0.125,0.0758414279451199,1,221b2973-13c1-4412-9129-3b97d455128c
corrected_and_img.csv,no_treatment,robust,balanced,8,0.716019417475728,0.241666666666667,0.000606052921233566,2,35ac49b3-735a-4901-930e-8ef7fac97cf1
corrected_and_img.csv,no_treatment,robust,balanced,8,0.359223300970874,0.533333333333333,5.9857299986039e-05,10,e470b20c-1d4b-4cdb-a7ee-ebacba36fcfc
corrected_and_img.csv,no_treatment,robust,balanced,8,0.361650485436893,0.541666666666667,3.77504381567758e-05,20,9570389e-ba48-4c34-8d57-d9a783d1af51
corrected_and_img.csv,no_treatment,robust,balanced,64,0.846335697399527,0.25,0.00440105465879227,1,ffc36e74-e003-4b4c-af01-04636444370c
corrected_and_img.csv,no_treatment,robust,balanced,64,0.671394799054373,0.508333333333333,0.00600632960888525,2,d70ebbdd-59c1-4edb-afe3-04f5f17bf177
corrected_and_img.csv,no_treatment,robust,balanced,64,0.274231678486998,0.591666666666667,0.00156381390335144,10,a9aff77a-d5eb-47bb-b5f1-0ef5eeb3cfdb
corrected_and_img.csv,no_treatment,robust,balanced,64,0.274231678486998,0.591666666666667,0.00171719132502948,20,17ef9775-81c6-49a3-a569-40f0cea8a63c
corrected_and_img.csv,no_treatment,robust,balanced,128,0.855791962174941,0.266666666666667,0.0261690077660441,1,fe1a6186-d212-4b16-b7fe-7e12b113bf43
corrected_and_img.csv,no_treatment,robust,balanced,128,0.687943262411348,0.491666666666667,0.0054938716219721,2,7712b716-1910-4917-8c4c-cf50d6e64b0e
corrected_and_img.csv,no_treatment,robust,balanced,128,0.278959810874705,0.616666666666667,0.00181011354603478,10,6505b264-c546-4527-92e8-bf3bb64e0e69
corrected_and_img.csv,no_treatment,robust,balanced,128,0.25531914893617,0.616666666666667,0.00201574469604558,20,d6599907-4853-45ae-88f0-c0fe986509a1
corrected_and_img.csv,no_treatment,no_treatment,balanced,8,0.813106796116505,0.241666666666667,0.181252978302613,1,bb32277c-638a-417a-a8df-5d4756beae2f
corrected_and_img.csv,no_treatment,no_treatment,balanced,8,0.713592233009709,0.35,0.0980479288697119,2,dbc48090-728d-4b21-92c8-fefc56c646ae
corrected_and_img.csv,no_treatment,no_treatment,balanced,8,0.381067961165049,0.775,0.187383511488301,10,97f54bd5-1379-4a4d-8c36-ed257a596a4d
corrected_and_img.csv,no_treatment,no_treatment,balanced,8,0.371359223300971,0.783333333333333,0.188633296362563,20,d45b9371-9764-4267-95a0-095915bfdb04
corrected_and_img.csv,no_treatment,no_treatment,balanced,32,0.810874704491726,0.233333333333333,0.191282759055046,1,c7091ad3-3b7e-4743-918f-e2ee9b87bd9a
corrected_and_img.csv,no_treatment,no_treatment,balanced,32,0.687943262411348,0.325,0.110078872033946,2,9c8073de-4b6a-450b-8e07-7da0e2398371
corrected_and_img.csv,no_treatment,no_treatment,balanced,32,0.283687943262411,0.833333333333333,0.145927770872796,10,02b42caa-d6af-4203-8db6-62bc66fd7537
corrected_and_img.csv,no_treatment,no_treatment,balanced,32,0.269503546099291,0.833333333333333,0.144597188633078,20,c7abb2cc-8cec-44cc-94b7-95023a7f41b1
corrected_and_img.csv,no_treatment,no_treatment,balanced,64,0.839243498817967,0.25,0.0695897745518325,1,782fc3d8-6f4b-4add-9232-15f21c65adf5
corrected_and_img.csv,no_treatment,no_treatment,balanced,64,0.645390070921986,0.375,0.101533051169958,2,c73cd27f-064d-4fee-977a-b0a0b89be1a7
corrected_and_img.csv,no_treatment,no_treatment,balanced,64,0.267139479905437,0.825,0.123407137939903,10,b2edf49b-273e-421e-8899-229e0762fa27
corrected_and_img.csv,no_treatment,no_treatment,balanced,64,0.245862884160756,0.825,0.122377970661721,20,97712472-7632-44b8-b469-11543c1853c3
corrected_and_img.csv,no_treatment,no_treatment,balanced,128,0.862884160756501,0.25,2.54092084051644e-05,1,344fa8be-61cc-4170-a6ee-5e84d6b02bb7
corrected_and_img.csv,no_treatment,no_treatment,balanced,128,0.664302600472813,0.45,0.10362963200443,2,cba901d1-8ada-4f8b-8518-4368cc736409
corrected_and_img.csv,no_treatment,no_treatment,balanced,128,0.257683215130024,0.833333333333333,0.119468380435494,10,a52d141a-6e12-4d78-affd-c803b436ebca
corrected_and_img.csv,no_treatment,no_treatment,balanced,128,0.245862884160756,0.825,0.117108993132537,20,8ae5476c-9e19-4ade-af9c-185c83c84028
corrected_and_img.csv,no_treatment,no_treatment,balanced,256,0.872340425531915,0.266666666666667,0.0572790931815189,1,bb274d33-ad12-4679-8001-291c8c9179dc
corrected_and_img.csv,no_treatment,no_treatment,balanced,256,0.66903073286052,0.508333333333333,0.101191784107857,2,ebbfe5b9-ee38-468e-807a-a2df333ed233
corrected_and_img.csv,no_treatment,no_treatment,balanced,256,0.252955082742317,0.841666666666667,0.109851952287739,10,d9bf689d-51f3-4f45-9e2c-8a906659d742
corrected_and_img.csv,no_treatment,no_treatment,balanced,256,0.24822695035461,0.833333333333333,0.108989280073457,20,de6754ee-4c7f-4ab8-9a1b-0fab78bca17b
corrected_and_img.csv,no_treatment,no_treatment,balanced,512,0.862884160756501,0.275,0.111272394280898,1,afc4c30a-0c30-4997-9899-89e950e464b1
corrected_and_img.csv,no_treatment,no_treatment,balanced,512,0.654846335697399,0.458333333333333,0.0935952243632697,2,9d788a76-717c-4933-9ea6-7c5a39cef9eb
corrected_and_img.csv,no_treatment,no_treatment,balanced,512,0.26241134751773,0.841666666666667,0.105328839786753,10,b44cc0cd-3405-4687-9f1c-c6df9b0a2089
corrected_and_img.csv,no_treatment,no_treatment,balanced,512,0.231678486997636,0.841666666666667,0.105320521603136,20,d90a859e-b137-495e-9c1c-769a6c61a763
corrected_and_img.csv,no_treatment,min_max,balanced,8,0.813106796116505,0.233333333333333,0.220179688235216,1,f3913f7c-70ef-490d-90e8-670689cabf03
corrected_and_img.csv,no_treatment,min_max,balanced,8,0.713592233009709,0.366666666666667,0.125909717128446,2,341fef6b-e807-4f2d-b8ca-275160e2074a
corrected_and_img.csv,no_treatment,min_max,balanced,8,0.381067961165049,0.658333333333333,0.128647047632829,10,34f571de-d4aa-49fe-87ab-966b30e6f027
corrected_and_img.csv,no_treatment,min_max,balanced,8,0.371359223300971,0.658333333333333,0.129742448319834,20,2bb133fc-8753-47a0-b5e1-4e6d75bf0cb6
corrected_and_img.csv,no_treatment,min_max,balanced,32,0.810874704491726,0.233333333333333,0.237072055820705,1,b8db7d4c-51b7-42d6-8fb9-7b81a11ca604
corrected_and_img.csv,no_treatment,min_max,balanced,32,0.687943262411348,0.341666666666667,0.121262691975701,2,42193203-28cf-432d-9d23-2eef8d5300bc
corrected_and_img.csv,no_treatment,min_max,balanced,32,0.283687943262411,0.658333333333333,0.090329389065693,10,e5c47b58-42f2-4754-8d56-c6b2d4ed3f9d
