ID,CAT
0,"Dead Salix"
1,"Pices (bark)"
2,"Bare Rock"
3,"Bare Soil"
4,"Quartz"
5,"Equisetum arvense"
6,"Equisetum sylvaticum"
7,"Arenaria pseudofrigida"
8,"Heracleum lanatum"
9,"Hieracium sp."
10,"Iris sp."
11,"Lupinus sp."
12,"Pedicularis racemosa"
13,"Pedicularis sudetica"
14,"Petasites frigida"
15,"Pestasites frigidus"
16,"Saxifraga punctata"
17,"Toefeldia sp."
18,"Arctagrostis latifolia"
19,"Arctophila fulva"
20,"Calamogrostis sp."
21,"Dupontia fisheri"
22,"Carex sp."
23,"Carex aquatilis"
24,"Eriophorum vaginatum"
25,"Eriophorum angustifolium"
26,"Bryoria sp."
27,"Cetraria islandica"
28,"Cetraria laevigata"
29,"Masonhalea richardsonii"
30,"Melanelia sp."
31,"Peltigera apthosa"
32,"Peltigers leucophlebia"
33,"Peltigera malacea"
34,"Peltigera scabrata"
35,"Porpidia sp."
36,"Rhizocarpon sp."
37,"Umbilicaria arctica"
38,"Umbilicaria hyperborea"
39,"Icmadophila ericetorum"
40,"Pilophorus acicularis"
41,"Stereocaulon sp."
42,"Trapelopsis granulosa"
43,"Alectoria ochroleuca"
44,"Arctocetraria centrifuga"
45,"Asahinea chrysantha"
46,"Cladonia cornuta"
47,"Cladonia gracilis"
48,"Cladonia rangiferina"
49,"Cladonia stygia"
50,"Hypogymnia austerodes"
51,"Parmelia omphalodes"
52,"Parmelis sulcata"
53,"Unknown"
54,"Rhizocarpon geographicum"
55,"Cladonia amaurocraea"
56,"Cladonia mitis"
57,"Cladonia steallaris"
58,"Cladonia sulphurina"
59,"Cladonia uncialis"
60,"Dactylina arctica"
61,"Evernia mesomorpha"
62,"Flavocetraria cucculata"
63,"Flavocetraria nivalis"
64,"Nephroma arcticum"
65,"Parmeliopsis ambigua"
66,"Usnea lapponica"
67,"Usnea scabrata"
68,"Vulpicida pinastri"
69,"Aulacomnium palustre"
70,"Aulacomnium turgidum"
71,"Ceratadon purpureus"
72,"Dicranum sp."
73,"Plagiomnium sp."
74,"Polytrichum juniperinum"
75,"Polytrichum strictum"
76,"Polytrichum sp."
77,"Racomitrium lanoiginosum"
78,"Hylocomium splendens"
79,"Pleurozium schreberi"
80,"Rhytidum rugosum"
81,"Tomenthypnum nitens"
82,"Sphagnum sp."
83,"Sphagnum fuscum"
84,"Alnus sp."
85,"Betula nana"
86,"Arctostaphyllos"
87,"Rhus typhina"
88,"Rosa acicularis"
89,"Rubus sp."
90,"Vaccinium uliginosum"
91,"Salix alaxensis"
92,"Salix arbusculoides"
93,"Salix glauca"
94,"Salix lanata"
95,"Salix ovalifolia"
96,"Salix pulchra"
97,"Salix richardsonii"
98,"Salix (wooly)"
99,"Salix phlebophylla"
100,"Cassiope tetragona"
101,"Dryas sp."
102,"Empetrum nigrum"
103,"Ledum decumbens"
104,"Loisleuria procumbens"
105,"Vaccinium vitis-idea"
106,"Betula alleghaniensis"
107,"Betula neoalaskana"
108,"Betula papyrifera"
109,"Betula populifolia"
110,"Acer rubrum"
111,"Acer pensylvanicum"
112,"Fagus grandifolia"
113,"Fraxinus americana"
114,"Prunus pensylvanica"
115,"Quercus Rubra"
116,"Populus balsamifera"
117,"Populus grandidentata"
118,"Abies balsamea"
119,"Larix larcina"
120,"Pinus strobus"
121,"Thuja occidentalis"
122,"Tsuga canadensis"
123,"Picea mariana"
124,"Picea rubens"
